transaction_id,amount_eur,merchant_country,issuer_country,cross_border,device_type,browser_type,merchant_category,card_scheme,returning_user,tokenized,passkey_available,exemption_possible,previous_soft_decline,previous_challenge_success,failed_auth_attempts_30d,issuer_behavior,risk_score_label,friction_score_label,approved,abandoned,fraud_flag,device_type_encoded,browser_type_encoded,merchant_category_encoded,card_scheme_encoded,issuer_behavior_encoded,risk_proxy,friction_proxy,pred_approval_proba,pred_abandon_proba,pred_fraud_proba,recommended_strategy,decision_reason,strategy_cost_score,business_value_score
TX_0000035,165.17,UK,ES,1,desktop,app_webview,retail,amex,0,0,1,0,0,0,0,strict,41.8,32.0,0,0,0,1,4,3,2,2,6,5,55.77,36.46,42.93,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,1.9
TX_0000036,1.5,DE,FR,1,desktop,safari,subscriptions,visa,0,1,0,1,0,0,2,neutral,33.0,13.0,1,1,0,1,1,4,0,1,10,3,52.88,59.23,36.26,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-3.76
TX_0000037,1.5,IT,UK,1,desktop,firefox,retail,visa,1,0,0,1,0,0,0,neutral,23.0,8.0,0,0,0,1,2,3,0,1,4,1,56.23,32.84,47.49,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,2.1
TX_0000038,1.5,ES,DE,1,desktop,chrome,retail,visa,1,0,1,1,0,0,2,neutral,32.0,8.0,1,0,0,1,0,3,0,1,10,0,71.82,2.06,33.87,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,23.03
TX_0000039,8.75,BE,IT,1,mobile,app_webview,travel,visa,1,1,1,1,0,0,0,neutral,28.0,21.0,0,0,0,0,4,2,0,1,2,5,76.25,43.91,31.17,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,15.1
TX_0000040,64.46,DE,US,1,mobile,chrome,subscriptions,mc,0,0,0,1,0,0,0,strict,29.8,26.0,1,0,0,0,0,4,1,2,6,5,48.2,59.69,52.19,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-9.17
TX_0000041,74.98,IT,ES,1,mobile,app_webview,retail,mc,0,0,1,0,0,0,1,neutral,32.0,26.0,1,0,1,0,4,3,1,1,9,7,55.16,57.55,56.01,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,-2.57
TX_0000042,38.06,FR,NL,1,mobile,safari,travel,visa,1,1,0,1,0,1,0,neutral,24.0,13.0,1,1,1,0,1,2,0,1,2,3,63.98,59.92,36.6,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,0.99
TX_0000043,22.9,NL,FR,1,mobile,safari,saas,visa,0,0,1,1,0,0,0,friendly,26.2,18.0,1,0,1,0,1,1,0,0,6,4,44.84,47.34,44.07,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,-2.27
TX_0000044,17.83,UK,BE,1,mobile,chrome,marketplace,mc,1,1,1,1,0,0,0,neutral,19.0,13.0,1,1,0,0,0,0,1,1,2,2,73.97,39.12,39.3,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,13.65
TX_0000045,192.86,ES,NL,1,desktop,app_webview,saas,mc,1,0,0,1,0,0,1,friendly,33.2,19.0,1,0,1,1,4,1,1,0,7,4,58.1,42.87,62.74,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-2.62
TX_0000046,105.45,BE,DE,1,mobile,chrome,retail,mc,0,1,0,0,0,1,0,friendly,22.2,18.0,1,0,1,0,0,3,1,0,4,5,62.98,50.14,41.83,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,1.94
TX_0000047,80.22,ES,US,1,desktop,chrome,subscriptions,mc,1,0,1,1,0,0,0,strict,24.8,16.0,1,0,0,1,0,4,1,2,4,0,60.82,5.19,47.28,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,11.12
TX_0000048,146.55,BE,DE,1,desktop,safari,saas,mc,0,0,0,0,0,0,0,neutral,28.0,13.0,1,0,1,1,1,1,1,1,6,3,41.97,48.25,57.04,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-10.08
TX_0000049,103.69,IT,ES,1,desktop,chrome,subscriptions,visa,1,0,0,1,0,0,1,neutral,23.0,8.0,1,0,0,1,0,4,0,1,7,1,54.74,27.18,44.34,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,3.47
TX_0000050,178.69,ES,FR,1,desktop,app_webview,retail,visa,1,0,1,0,0,0,1,friendly,33.2,19.0,1,0,0,1,4,3,0,0,7,3,63.51,21.76,52.33,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,7.17
TX_0000051,143.14,IT,US,1,mobile,chrome,saas,visa,1,1,0,1,0,0,0,neutral,19.0,13.0,0,0,0,0,0,1,0,1,2,3,56.16,56.77,44.86,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-3.39
TX_0000052,4.47,ES,IT,1,mobile,chrome,marketplace,visa,0,0,0,1,0,0,1,strict,29.8,26.0,0,0,0,0,0,0,0,2,9,5,37.18,48.69,38.69,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-8.68
TX_0000053,19.4,DE,NL,1,mobile,safari,marketplace,mc,0,0,1,1,0,0,0,neutral,28.0,18.0,1,0,0,0,1,0,1,1,6,4,41.3,49.19,53.22,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,-6.16
TX_0000054,91.15,FR,UK,1,mobile,app_webview,marketplace,mc,1,1,0,1,0,0,0,neutral,23.0,21.0,0,0,0,0,4,0,1,1,2,6,52.92,48.64,37.17,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-1.28
TX_0000055,116.76,BE,NL,1,mobile,chrome,subscriptions,mc,0,1,0,0,0,0,0,friendly,22.2,18.0,0,0,0,0,0,4,1,0,4,5,47.32,43.82,39.77,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-3.12
TX_0000056,103.58,DE,IT,1,mobile,chrome,marketplace,visa,0,1,0,0,0,0,0,strict,25.8,26.0,0,0,0,0,0,0,0,2,4,5,47.65,50.12,36.92,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-3.97
TX_0000057,112.11,BE,US,1,mobile,chrome,saas,mc,0,0,0,1,0,0,0,friendly,26.2,18.0,0,0,1,0,0,1,1,0,6,5,37.83,62.16,54.69,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-14.95
TX_0000058,140.46,BE,NL,1,mobile,firefox,saas,amex,1,0,0,0,0,0,1,friendly,21.2,13.0,1,0,1,0,2,1,2,0,7,3,64.2,33.84,49.42,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,5.05
TX_0000059,1.5,DE,US,1,desktop,app_webview,travel,mc,1,0,0,0,0,0,1,strict,33.8,24.0,1,0,0,1,4,2,1,2,7,4,46.97,35.8,47.41,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-2.8
TX_0000060,60.13,ES,ES,0,mobile,chrome,retail,mc,0,1,0,1,0,0,0,neutral,18.0,18.0,1,0,1,0,0,3,1,1,2,5,67.53,50.06,42.05,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,7.46
TX_0000061,122.18,NL,BE,1,desktop,chrome,travel,mc,0,0,1,0,0,0,0,neutral,33.0,13.0,1,0,0,1,0,2,1,1,6,2,46.31,42.9,57.38,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,-3.16
TX_0000062,144.17,DE,ES,1,tablet,app_webview,saas,mc,1,0,0,1,0,0,2,neutral,36.0,16.0,0,0,0,2,4,1,1,1,10,4,26.83,50.58,41.71,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-14.41
TX_0000063,173.32,IT,BE,1,mobile,chrome,retail,visa,1,0,0,1,1,0,1,friendly,29.2,16.0,0,1,0,0,0,3,0,0,11,3,40.67,64.76,40.81,SOFT_DECLINE_RETRY_WITH_AUTH,Retrying after previous soft decline with stronger auth,45,-10.55
TX_0000064,1.5,DE,NL,1,mobile,safari,retail,amex,0,1,1,0,0,0,0,friendly,22.2,18.0,0,1,0,0,1,3,2,0,4,4,47.49,62.16,31.02,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,-2.17
TX_0000065,49.23,NL,IT,1,desktop,firefox,subscriptions,amex,1,1,0,0,0,0,0,friendly,17.2,8.0,1,0,0,1,2,4,2,0,2,1,67.15,19.68,35.72,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,16.15
TX_0000066,3.65,UK,UK,0,mobile,chrome,retail,mc,1,0,1,0,0,1,0,friendly,15.2,13.0,1,1,0,0,0,3,1,0,2,2,71.18,55.52,30.38,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,10.08
TX_0000067,70.85,FR,FR,0,desktop,edge,marketplace,visa,0,0,0,0,0,0,1,neutral,22.0,13.0,1,0,0,1,3,0,0,1,7,3,53.72,43.41,52.15,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-2.61
TX_0000068,1.5,DE,NL,1,mobile,edge,marketplace,visa,1,1,0,1,0,1,0,neutral,19.0,13.0,1,0,0,0,3,0,0,1,2,3,82.97,36.16,31.47,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,20.0
TX_0000069,1.5,ES,NL,1,mobile,firefox,saas,mc,1,0,0,0,1,1,0,neutral,23.0,13.0,1,0,0,0,2,1,1,1,8,3,69.65,39.62,28.31,SOFT_DECLINE_RETRY_WITH_AUTH,Retrying after previous soft decline with stronger auth,45,11.28
TX_0000070,1.5,DE,IT,1,mobile,chrome,travel,visa,1,0,1,1,0,0,0,friendly,26.2,13.0,0,0,0,0,0,2,0,0,4,2,50.67,53.33,47.27,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,-1.78
TX_0000071,69.6,ES,FR,1,mobile,safari,marketplace,mc,1,1,1,1,0,1,1,neutral,19.0,13.0,1,0,0,0,1,0,1,1,5,2,75.58,42.33,37.93,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,13.84
TX_0000072,138.21,DE,NL,1,desktop,app_webview,marketplace,visa,1,0,1,0,0,0,0,strict,28.8,24.0,1,0,0,1,4,0,0,2,4,3,56.12,32.31,52.31,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,1.21
TX_0000073,50.4,FR,IT,1,desktop,chrome,subscriptions,visa,1,0,0,1,0,1,0,friendly,21.2,8.0,1,0,0,1,0,4,0,0,4,1,60.46,26.65,51.22,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,4.8
TX_0000074,186.02,IT,ES,1,mobile,firefox,subscriptions,amex,1,1,0,0,0,0,0,friendly,25.2,16.0,1,0,1,0,2,4,2,0,2,3,68.57,44.91,55.37,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,3.05
TX_0000075,56.07,ES,BE,1,mobile,chrome,travel,mc,1,0,0,0,0,1,1,strict,29.8,21.0,1,1,1,0,0,2,1,2,7,3,55.08,57.33,44.24,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-3.89
TX_0000076,182.2,UK,IT,1,mobile,edge,subscriptions,visa,1,1,0,1,0,0,0,friendly,25.2,16.0,1,0,0,0,3,4,0,0,2,3,67.48,50.66,40.12,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,7.68
TX_0000077,100.46,NL,US,1,tablet,app_webview,marketplace,mc,0,1,1,0,0,0,1,neutral,28.0,21.0,1,0,1,2,4,0,1,1,7,5,67.75,37.88,48.99,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,5.72
TX_0000078,133.27,NL,UK,1,mobile,chrome,subscriptions,visa,1,1,0,1,0,0,0,friendly,17.2,13.0,1,0,0,0,0,4,0,0,2,3,64.15,53.82,40.37,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,1.84
TX_0000079,77.57,IT,NL,1,mobile,chrome,subscriptions,visa,0,0,1,0,0,0,0,neutral,28.0,18.0,1,0,0,0,0,4,0,1,6,4,58.96,49.58,52.68,PASSKEY,"High friction risk, passkey available to reduce abandonment",18,1.8
TX_0000080,223.59,IT,FR,1,desktop,chrome,subscriptions,visa,0,0,1,1,0,1,0,strict,37.8,24.0,1,0,0,1,0,4,0,2,6,2,70.66,23.42,33.78,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,17.19
TX_0000081,139.98,NL,US,1,mobile,chrome,saas,amex,1,0,0,0,0,0,1,neutral,23.0,13.0,1,0,0,0,0,1,2,1,7,3,61.72,36.63,48.21,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,3.47
TX_0000082,173.42,ES,BE,1,mobile,safari,saas,visa,1,1,1,0,0,0,0,friendly,25.2,16.0,1,0,0,0,1,1,0,0,2,2,60.93,35.49,42.45,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,4.56
TX_0000083,121.16,DE,IT,1,tablet,app_webview,marketplace,visa,1,1,1,0,0,0,0,friendly,21.2,16.0,1,0,0,2,4,0,0,0,2,3,74.84,22.34,30.12,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,20.07
TX_0000084,160.66,FR,DE,1,mobile,chrome,saas,amex,1,0,0,1,0,0,0,neutral,31.0,16.0,1,0,1,0,0,1,2,1,4,3,52.48,53.01,54.02,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-5.94
TX_0000085,68.74,BE,NL,1,mobile,safari,travel,visa,1,0,0,0,0,1,0,friendly,26.2,13.0,1,1,0,0,1,2,0,0,4,3,54.42,53.73,49.64,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-4.37
TX_0000086,175.99,ES,US,1,mobile,chrome,retail,mc,0,1,0,0,0,0,0,neutral,32.0,21.0,0,0,0,0,0,3,1,1,4,5,41.96,47.64,56.75,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-9.88
TX_0000087,144.31,DE,IT,1,desktop,safari,marketplace,mc,1,1,0,0,0,0,0,strict,20.8,16.0,1,0,0,1,1,0,1,2,2,1,58.3,39.61,37.01,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,3.43
TX_0000088,118.8,NL,US,1,desktop,firefox,marketplace,visa,1,1,1,1,0,0,1,neutral,19.0,8.0,1,0,0,1,2,0,0,1,5,0,67.16,3.21,41.74,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,19.07
TX_0000089,14.11,ES,UK,1,mobile,chrome,marketplace,visa,1,1,0,1,0,1,0,friendly,17.2,13.0,1,0,0,0,0,0,0,0,2,3,74.8,46.84,37.11,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,12.53
TX_0000090,42.11,DE,ES,1,desktop,app_webview,subscriptions,mc,0,0,0,0,0,1,0,neutral,32.0,21.0,1,0,0,1,4,4,1,1,6,6,60.64,55.52,49.28,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-1.95
TX_0000091,15.11,UK,FR,1,mobile,edge,retail,amex,0,0,0,1,0,0,1,neutral,28.0,18.0,1,1,1,0,3,3,2,1,9,5,45.16,59.1,69.23,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-13.8
TX_0000092,41.54,IT,US,1,mobile,edge,retail,visa,1,0,1,0,0,0,1,friendly,21.2,13.0,0,0,0,0,3,3,0,0,7,2,48.06,36.13,44.64,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-1.83
TX_0000093,1.5,IT,DE,1,desktop,edge,saas,mc,1,1,0,0,1,1,0,strict,20.8,16.0,1,0,0,1,3,1,1,2,6,1,79.4,13.17,28.89,SOFT_DECLINE_RETRY_WITH_AUTH,Retrying after previous soft decline with stronger auth,45,22.16
TX_0000094,1.5,NL,NL,0,mobile,chrome,travel,mc,0,0,0,1,0,0,0,neutral,27.0,18.0,0,1,0,0,0,2,1,1,4,5,33.15,62.78,36.07,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-13.49
TX_0000095,1.5,NL,NL,0,mobile,chrome,retail,mc,0,1,1,1,0,0,0,friendly,16.2,18.0,0,0,1,0,0,3,1,0,2,4,56.02,37.43,49.7,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,0.41
TX_0000096,119.64,BE,BE,0,desktop,chrome,subscriptions,mc,0,1,1,0,0,0,1,neutral,18.0,13.0,0,0,0,1,0,4,1,1,5,2,50.15,14.79,31.64,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,7.04
TX_0000097,85.5,NL,IT,1,desktop,edge,retail,visa,1,1,0,0,0,0,2,neutral,28.0,8.0,1,0,1,1,3,3,0,1,8,1,64.69,27.91,62.17,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,4.2
TX_0000098,108.31,ES,US,1,desktop,app_webview,subscriptions,visa,0,1,0,1,0,0,0,neutral,28.0,21.0,1,0,0,1,4,4,0,1,4,6,53.23,50.38,45.78,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-3.3
TX_0000099,112.0,NL,UK,1,mobile,safari,retail,mc,1,1,0,0,0,1,0,strict,20.8,21.0,1,0,0,0,1,3,1,2,2,3,61.31,46.32,42.99,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,1.91
TX_0000100,52.91,DE,BE,1,mobile,app_webview,retail,mc,1,1,0,1,0,1,1,neutral,23.0,21.0,1,0,0,0,4,3,1,1,5,6,68.18,47.8,39.55,3DS_FRICTIONLESS,Moderate risk with acceptable approval probability,20,8.82
TX_0000101,57.79,FR,BE,1,mobile,app_webview,retail,visa,1,1,0,0,0,0,0,friendly,21.2,21.0,1,1,1,0,4,3,0,0,2,6,61.13,63.98,45.71,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-3.13
TX_0000102,200.38,FR,FR,0,mobile,edge,retail,mc,0,0,0,0,0,0,0,neutral,30.0,21.0,1,0,0,0,3,3,1,1,4,5,50.46,49.84,34.0,3DS_CHALLENGE,Higher risk or issuer sensitivity requires stronger authentication,55,-2.05
